"REP","TPL","CULT","DFF","PLHT","PNCLE","GRNYLD"
"1","D","CN1",136,115.8,239,1680
"2","D","CN1",133,120.5,231,1350
"3","D","CN1",135,117.8,234,1900
"2","D","NDR1",129,100.5,200,4900
"3","D","NDR1",128,98.6,195,5500
"2","D","OR1",128,122.9,236,2800
"1","D","CN2",139,125.6,240,2200
"2","D","CN2",138,128.4,236,1450
"3","D","CN2",139,123.2,237,2250
"2","D","NDR2",130,113.9,180,2050
"3","D","NDR2",130,115.4,152,2450
"2","D","OR2",130,124.6,271,3150
"1","D","CR1",137,120.5,31,3500
"2","D","CR1",140,121.8,299,2700
"3","D","CR1",138,119.2,307,3200
"2","D","NDR3",116,120.8,210,5750
"3","D","NDR3",116,128.4,204,5200
"2","D","OR3",131,115.6,212,2500
"1","D","CR2",124,120.7,193,2100
"2","D","CR2",125,124.3,190,3100
"3","D","CR2",123,124.2,196,2750
"2","D","NDR4",141,122.4,232,3860
"3","D","NDR4",141,120.9,228,3000
"2","D","OR4",141,113.7,213,2150
"1","D","IR1-CN3",133,92.6,231,2850
"2","D","IR1-CN3",136,95.2,224,2750
"3","D","IR1-CN3",134,93.1,229,2250
"2","D","NDR5",149,135.9,213,1800
"3","D","NDR5",145,133.8,207,2100
"2","D","OR5",134,120.4,205,2050
"1","D","IR1-CN4",136,140.4,233,1000
"2","D","IR1-CN4",135,147.2,220,1260
"3","D","IR1-CN4",136,143.5,228,950
"2","D","NDR6",142,109.3,213,2360
"3","D","NDR6",144,107.9,209,3850
"2","D","OR6",135,112.6,290,3950
"1","D","IR2",131,130.7,285,2200
"2","D","IR2",130,122.9,220,1650
"3","D","IR2",131,129.3,222,2000
"2","D","NDR7",144,122.5,240,4900
"3","D","NDR7",144,130.6,139,4500
"2","D","OR7",144,149.3,241,4900
"1","D","NDR1",128,100.2,192,5250
"1","D","OR3",129,115.3,209,2650
"1","D","OR1",128,120.5,229,2450
"3","D","OR3",130,113.9,210,2100
"3","D","OR1",128,129,233,2500
"2","D","OR8",138,120.7,202,3950
"1","D","NDR2",130,119.4,172,2750
"1","D","OR4",140,110.3,209,1850
"1","D","OR2",132,125.7,267,2000
"3","D","OR4",14,111.8,203,1900
"3","D","OR2",131,127.8,263,2700
"2","D","RA1",143,114.3,193,1600
"1","D","NDR3",118,125.6,197,5610
"1","D","OR5",133,120.7,198,2400
"3","D","OR7",143,146.9,235,5000
"3","D","OR5",132,117.2,200,2200
"2","D","S2",128,119.6,135,2330
"2","D","RA2",151,116.7,143,3950
"1","D","NDR4",139,120.7,230,3500
"1","D","OR6",134,110.2,289,3800
"3","D","OR8",135,120.7,197,4600
"3","D","OR6",134,111.7,287,3650
"3","D","RA1",143,112.8,190,1750
"2","D","S1",139,112.4,205,2455
"1","D","NDR5",148,130.2,208,2000
"1","D","OR7",143,140.8,229,5300
"1","D","NDR6",144,100.6,205,1850
"1","D","OR8",137,120.5,195,4400
"3","D","RA2",149,119.5,155,3670
"1","D","S2",130,120,125,2160
"3","D","S1",134,115.5,216,2440
"1","D","RA2",150,120.3,160,3400
"1","D","NDR7",145,129,235,4950
"1","D","RA1",142,110.7,189,1550
"3","D","S2",130,120.8,133,2000
"1","D","S1",137,115.3,198,2260
"3","N","CN2",114,153.2,232,3550
"1","N","CN1",106,140.2,274,3700
"3","N","CR2",113,154.2,242,4200
"3","N","NDR6",106,127.9,265,4840
"3","N","CR1",125,133.1,210,5350
"1","N","CN2",116,150.6,234,3740
"3","N","CN1",106,143.8,285,3600
"1","N","CR1",124,130.6,227,5000
"3","N","IR1-CN3",122,117.9,332,5050
"3","N","NDR7",118,150.9,210,5200
"3","N","IR1-CN4",121,163.5,235,3050
"3","N","OR1",127,139,228,5600
"2","N","CN2",116,148.4,230,4000
"1","N","CR2",112,150.7,235,4050
"1","N","IR2",111,160.7,297,4000
"1","N","IR1-CN3",121,115.7,333,4800
"3","N","IR2",109,159.3,297,4330
"3","N","OR2",114,147.8,290,4420
"2","N","CR1",127,135.2,220,4750
"2","N","CN1",106,145.9,270,3750
"1","N","NDR1",124,115.2,242,6500
"1","N","IR1-CN4",120,160.4,237,2900
"3","N","NDR1",125,118.6,248,5420
"3","N","OR3",120,143.9,249,4200
"2","N","CR2",113,154.3,245,4560
"1","N","NDR4",118,159,274,4500
"1","N","NDR2",118,122.4,268,4930
"3","N","NDR4",115,150.6,277,4730
"3","N","NDR2",118,124.3,282,4600
"3","N","OR4",114,121.8,236,4000
"2","N","IR1-CN3",120,119.8,336,5300
"1","N","NDR5",110,135.8,236,4120
"1","N","NDR3",107,135.6,223,6460
"3","N","NDR5",111,137.8,240,4010
"3","N","NDR3",107,138.4,219,5360
"3","N","OR5",113,127.2,290,4760
"2","N","IR1-CN4",120,157.2,240,3130
"1","N","NDR6",106,125.6,262,4650
"2","N","NDR6",106,129.3,260,5000
"1","N","OR6",114,120.2,245,5200
"2","N","OR6",116,122.6,250,4900
"3","N","OR6",115,121.7,248,5000
"2","N","IR2",111,162.9,29,4450
"1","N","NDR7",118,150.7,205,5350
"2","N","NDR7",118,152.4,212,5450
"1","N","OR7",121,155.8,205,6000
"2","N","OR7",120,159.3,211,5650
"3","N","OR7",122,156.9,208,5200
"2","N","NDR1",125,120.5,251,5750
"1","N","OR1",127,140.5,227,4950
"2","N","OR1",125,142.9,230,5200
"1","N","OR8",116,120.5,225,5400
"2","N","OR8",116,120.7,229,5500
"3","N","OR8",114,120.7,233,5260
"2","N","NDR2",118,128.6,280,5250
"1","N","OR2",113,145.7,295,4560
"2","N","OR2",114,144.6,305,4000
"1","N","RA1",125,120.7,295,4000
"2","N","RA1",125,124.3,200,3550
"3","N","RA1",125,122.8,197,3740
"2","N","NDR3",107,139.6,215,6050
"1","N","OR3",120,140.3,234,4600
"2","N","OR3",120,145.6,260,4400
"1","N","RA2",128,128.7,201,4250
"2","N","RA2",127,120.9,182,4900
"3","N","RA2",128,125.7,195,4700
"2","N","NDR4",116,152.5,280,4840
"1","N","OR4",114,120.3,225,3900
"2","N","OR4",116,123.7,230,4100
"1","N","S1",115,125.3,289,3510
"2","N","S1",115,122.4,291,3920
"3","N","S1",116,125.5,290,3250
"2","N","NDR5",110,140.5,233,3830
"1","N","OR5",110,125.7,287,4800
"2","N","OR5",111,130.4,295,4400
"1","N","S2",116,140,287,4550
"2","N","S2",116,139.6,280,4000
"3","N","S2",118,130.8,284,4230
