"KernelNumber","KernelColor","KernelType","KernelCategory","YellowKernel","WhiteKernel","FlintType","SweetType"
401,"yellow","flint","yellow flint",1,0,1,0
402,"yellow","flint","yellow flint",1,0,1,0
403,"white","flint","white flint",0,1,1,0
404,"yellow","sweet","yellow sweet",1,0,0,1
405,"white","flint","white flint",0,1,1,0
406,"yellow","flint","yellow flint",1,0,1,0
407,"yellow","flint","yellow flint",1,0,1,0
408,"yellow","flint","yellow flint",1,0,1,0
409,"yellow","flint","yellow flint",1,0,1,0
410,"white","sweet","white sweet",0,1,0,1
411,"yellow","flint","yellow flint",1,0,1,0
412,"yellow","flint","yellow flint",1,0,1,0
413,"yellow","sweet","yellow sweet",1,0,0,1
414,"yellow","sweet","yellow sweet",1,0,0,1
415,"yellow","sweet","yellow sweet",1,0,0,1
416,"yellow","flint","yellow flint",1,0,1,0
417,"white","flint","white flint",0,1,1,0
418,"yellow","sweet","yellow sweet",1,0,0,1
419,"yellow","flint","yellow flint",1,0,1,0
420,"yellow","flint","yellow flint",1,0,1,0
421,"yellow","flint","yellow flint",1,0,1,0
422,"yellow","flint","yellow flint",1,0,1,0
423,"yellow","flint","yellow flint",1,0,1,0
424,"yellow","flint","yellow flint",1,0,1,0
425,"yellow","sweet","yellow sweet",1,0,0,1
426,"yellow","flint","yellow flint",1,0,1,0
427,"yellow","sweet","yellow sweet",1,0,0,1
428,"yellow","flint","yellow flint",1,0,1,0
429,"yellow","flint","yellow flint",1,0,1,0
430,"white","flint","white flint",0,1,1,0
431,"yellow","flint","yellow flint",1,0,1,0
432,"yellow","flint","yellow flint",1,0,1,0
433,"yellow","flint","yellow flint",1,0,1,0
434,"yellow","flint","yellow flint",1,0,1,0
435,"yellow","flint","yellow flint",1,0,1,0
436,"yellow","flint","yellow flint",1,0,1,0
437,"yellow","sweet","yellow sweet",1,0,0,1
438,"yellow","flint","yellow flint",1,0,1,0
439,"yellow","sweet","yellow sweet",1,0,0,1
440,"yellow","flint","yellow flint",1,0,1,0
441,"yellow","sweet","yellow sweet",1,0,0,1
442,"yellow","sweet","yellow sweet",1,0,0,1
443,"yellow","flint","yellow flint",1,0,1,0
444,"yellow","flint","yellow flint",1,0,1,0
445,"yellow","flint","yellow flint",1,0,1,0
446,"yellow","flint","yellow flint",1,0,1,0
447,"yellow","sweet","yellow sweet",1,0,0,1
448,"white","flint","white flint",0,1,1,0
449,"white","sweet","white sweet",0,1,0,1
450,"yellow","flint","yellow flint",1,0,1,0
451,"yellow","flint","yellow flint",1,0,1,0
452,"yellow","flint","yellow flint",1,0,1,0
453,"yellow","sweet","yellow sweet",1,0,0,1
454,"yellow","flint","yellow flint",1,0,1,0
455,"yellow","flint","yellow flint",1,0,1,0
456,"white","sweet","white sweet",0,1,0,1
457,"yellow","flint","yellow flint",1,0,1,0
458,"yellow","flint","yellow flint",1,0,1,0
459,"yellow","flint","yellow flint",1,0,1,0
460,"yellow","flint","yellow flint",1,0,1,0
461,"white","flint","white flint",0,1,1,0
462,"white","flint","white flint",0,1,1,0
463,"yellow","flint","yellow flint",1,0,1,0
464,"white","flint","white flint",0,1,1,0
465,"white","flint","white flint",0,1,1,0
466,"yellow","flint","yellow flint",1,0,1,0
467,"yellow","flint","yellow flint",1,0,1,0
468,"yellow","flint","yellow flint",1,0,1,0
469,"white","sweet","white sweet",0,1,0,1
470,"yellow","flint","yellow flint",1,0,1,0
471,"yellow","flint","yellow flint",1,0,1,0
472,"yellow","flint","yellow flint",1,0,1,0
473,"white","flint","white flint",0,1,1,0
474,"yellow","flint","yellow flint",1,0,1,0
475,"yellow","flint","yellow flint",1,0,1,0
476,"yellow","flint","yellow flint",1,0,1,0
477,"yellow","flint","yellow flint",1,0,1,0
478,"yellow","flint","yellow flint",1,0,1,0
479,"white","sweet","white sweet",0,1,0,1
480,"white","flint","white flint",0,1,1,0
481,"yellow","sweet","yellow sweet",1,0,0,1
482,"yellow","sweet","yellow sweet",1,0,0,1
483,"yellow","flint","yellow flint",1,0,1,0
484,"yellow","flint","yellow flint",1,0,1,0
485,"white","sweet","white sweet",0,1,0,1
486,"yellow","sweet","yellow sweet",1,0,0,1
487,"yellow","flint","yellow flint",1,0,1,0
488,"yellow","flint","yellow flint",1,0,1,0
489,"yellow","sweet","yellow sweet",1,0,0,1
490,"yellow","flint","yellow flint",1,0,1,0
491,"yellow","sweet","yellow sweet",1,0,0,1
492,"yellow","flint","yellow flint",1,0,1,0
493,"yellow","flint","yellow flint",1,0,1,0
494,"yellow","flint","yellow flint",1,0,1,0
495,"yellow","flint","yellow flint",1,0,1,0
496,"yellow","flint","yellow flint",1,0,1,0
497,"yellow","flint","yellow flint",1,0,1,0
498,"yellow","flint","yellow flint",1,0,1,0
499,"yellow","sweet","yellow sweet",1,0,0,1
500,"yellow","flint","yellow flint",1,0,1,0
501,"yellow","sweet","yellow sweet",1,0,0,1
502,"yellow","flint","yellow flint",1,0,1,0
503,"yellow","sweet","yellow sweet",1,0,0,1
504,"yellow","flint","yellow flint",1,0,1,0
505,"white","flint","white flint",0,1,1,0
506,"yellow","flint","yellow flint",1,0,1,0
507,"yellow","flint","yellow flint",1,0,1,0
508,"yellow","flint","yellow flint",1,0,1,0
509,"yellow","flint","yellow flint",1,0,1,0
510,"yellow","flint","yellow flint",1,0,1,0
511,"yellow","flint","yellow flint",1,0,1,0
512,"white","flint","white flint",0,1,1,0
513,"yellow","flint","yellow flint",1,0,1,0
514,"yellow","flint","yellow flint",1,0,1,0
515,"yellow","flint","yellow flint",1,0,1,0
516,"yellow","sweet","yellow sweet",1,0,0,1
517,"white","sweet","white sweet",0,1,0,1
518,"yellow","flint","yellow flint",1,0,1,0
519,"yellow","flint","yellow flint",1,0,1,0
520,"yellow","flint","yellow flint",1,0,1,0
521,"yellow","flint","yellow flint",1,0,1,0
522,"yellow","flint","yellow flint",1,0,1,0
523,"yellow","sweet","yellow sweet",1,0,0,1
524,"yellow","flint","yellow flint",1,0,1,0
525,"yellow","flint","yellow flint",1,0,1,0
526,"yellow","flint","yellow flint",1,0,1,0
527,"yellow","flint","yellow flint",1,0,1,0
528,"yellow","flint","yellow flint",1,0,1,0
529,"yellow","flint","yellow flint",1,0,1,0
530,"yellow","sweet","yellow sweet",1,0,0,1
531,"white","flint","white flint",0,1,1,0
532,"white","flint","white flint",0,1,1,0
533,"yellow","sweet","yellow sweet",1,0,0,1
534,"white","sweet","white sweet",0,1,0,1
535,"yellow","flint","yellow flint",1,0,1,0
536,"yellow","flint","yellow flint",1,0,1,0
537,"yellow","flint","yellow flint",1,0,1,0
538,"yellow","flint","yellow flint",1,0,1,0
539,"yellow","flint","yellow flint",1,0,1,0
540,"yellow","flint","yellow flint",1,0,1,0
541,"yellow","flint","yellow flint",1,0,1,0
542,"yellow","sweet","yellow sweet",1,0,0,1
543,"yellow","flint","yellow flint",1,0,1,0
544,"yellow","flint","yellow flint",1,0,1,0
545,"white","sweet","white sweet",0,1,0,1
546,"yellow","flint","yellow flint",1,0,1,0
547,"yellow","flint","yellow flint",1,0,1,0
548,"yellow","flint","yellow flint",1,0,1,0
549,"yellow","flint","yellow flint",1,0,1,0
550,"white","flint","white flint",0,1,1,0
551,"yellow","flint","yellow flint",1,0,1,0
552,"yellow","flint","yellow flint",1,0,1,0
553,"yellow","flint","yellow flint",1,0,1,0
554,"yellow","flint","yellow flint",1,0,1,0
555,"yellow","flint","yellow flint",1,0,1,0
556,"white","flint","white flint",0,1,1,0
557,"yellow","flint","yellow flint",1,0,1,0
558,"yellow","flint","yellow flint",1,0,1,0
559,"white","flint","white flint",0,1,1,0
560,"yellow","flint","yellow flint",1,0,1,0
561,"yellow","flint","yellow flint",1,0,1,0
562,"yellow","sweet","yellow sweet",1,0,0,1
563,"yellow","flint","yellow flint",1,0,1,0
564,"yellow","flint","yellow flint",1,0,1,0
565,"yellow","flint","yellow flint",1,0,1,0
566,"yellow","flint","yellow flint",1,0,1,0
567,"yellow","flint","yellow flint",1,0,1,0
568,"yellow","flint","yellow flint",1,0,1,0
569,"yellow","flint","yellow flint",1,0,1,0
570,"yellow","flint","yellow flint",1,0,1,0
571,"yellow","flint","yellow flint",1,0,1,0
572,"yellow","flint","yellow flint",1,0,1,0
573,"yellow","flint","yellow flint",1,0,1,0
574,"yellow","sweet","yellow sweet",1,0,0,1
575,"yellow","flint","yellow flint",1,0,1,0
576,"yellow","flint","yellow flint",1,0,1,0
577,"white","flint","white flint",0,1,1,0
578,"yellow","flint","yellow flint",1,0,1,0
579,"yellow","flint","yellow flint",1,0,1,0
580,"yellow","sweet","yellow sweet",1,0,0,1
581,"yellow","sweet","yellow sweet",1,0,0,1
582,"yellow","flint","yellow flint",1,0,1,0
583,"white","flint","white flint",0,1,1,0
584,"yellow","flint","yellow flint",1,0,1,0
585,"yellow","sweet","yellow sweet",1,0,0,1
586,"yellow","flint","yellow flint",1,0,1,0
587,"yellow","sweet","yellow sweet",1,0,0,1
588,"yellow","flint","yellow flint",1,0,1,0
589,"yellow","flint","yellow flint",1,0,1,0
590,"yellow","flint","yellow flint",1,0,1,0
591,"white","flint","white flint",0,1,1,0
592,"yellow","sweet","yellow sweet",1,0,0,1
593,"white","sweet","white sweet",0,1,0,1
594,"yellow","flint","yellow flint",1,0,1,0
595,"yellow","flint","yellow flint",1,0,1,0
596,"yellow","sweet","yellow sweet",1,0,0,1
597,"yellow","flint","yellow flint",1,0,1,0
598,"yellow","flint","yellow flint",1,0,1,0
599,"yellow","sweet","yellow sweet",1,0,0,1
600,"yellow","flint","yellow flint",1,0,1,0
601,"white","flint","white flint",0,1,1,0
602,"white","flint","white flint",0,1,1,0
603,"yellow","sweet","yellow sweet",1,0,0,1
604,"yellow","sweet","yellow sweet",1,0,0,1
605,"yellow","flint","yellow flint",1,0,1,0
606,"yellow","flint","yellow flint",1,0,1,0
607,"yellow","flint","yellow flint",1,0,1,0
608,"yellow","sweet","yellow sweet",1,0,0,1
609,"yellow","flint","yellow flint",1,0,1,0
610,"yellow","sweet","yellow sweet",1,0,0,1
611,"yellow","sweet","yellow sweet",1,0,0,1
612,"white","flint","white flint",0,1,1,0
613,"yellow","flint","yellow flint",1,0,1,0
614,"yellow","flint","yellow flint",1,0,1,0
615,"white","flint","white flint",0,1,1,0
616,"yellow","flint","yellow flint",1,0,1,0
617,"white","flint","white flint",0,1,1,0
618,"yellow","sweet","yellow sweet",1,0,0,1
619,"yellow","flint","yellow flint",1,0,1,0
620,"yellow","flint","yellow flint",1,0,1,0
621,"yellow","sweet","yellow sweet",1,0,0,1
622,"white","flint","white flint",0,1,1,0
623,"white","flint","white flint",0,1,1,0
624,"yellow","flint","yellow flint",1,0,1,0
625,"white","flint","white flint",0,1,1,0
626,"yellow","flint","yellow flint",1,0,1,0
627,"yellow","flint","yellow flint",1,0,1,0
628,"yellow","sweet","yellow sweet",1,0,0,1
629,"white","flint","white flint",0,1,1,0
630,"white","sweet","white sweet",0,1,0,1
631,"white","flint","white flint",0,1,1,0
632,"yellow","flint","yellow flint",1,0,1,0
633,"yellow","flint","yellow flint",1,0,1,0
634,"yellow","flint","yellow flint",1,0,1,0
635,"yellow","sweet","yellow sweet",1,0,0,1
636,"yellow","flint","yellow flint",1,0,1,0
637,"white","sweet","white sweet",0,1,0,1
638,"yellow","flint","yellow flint",1,0,1,0
639,"yellow","flint","yellow flint",1,0,1,0
640,"yellow","sweet","yellow sweet",1,0,0,1
641,"white","flint","white flint",0,1,1,0
642,"yellow","flint","yellow flint",1,0,1,0
643,"yellow","flint","yellow flint",1,0,1,0
644,"yellow","flint","yellow flint",1,0,1,0
645,"white","flint","white flint",0,1,1,0
646,"yellow","flint","yellow flint",1,0,1,0
647,"yellow","sweet","yellow sweet",1,0,0,1
648,"yellow","flint","yellow flint",1,0,1,0
649,"white","flint","white flint",0,1,1,0
650,"yellow","flint","yellow flint",1,0,1,0
651,"yellow","flint","yellow flint",1,0,1,0
652,"yellow","sweet","yellow sweet",1,0,0,1
653,"white","flint","white flint",0,1,1,0
654,"yellow","sweet","yellow sweet",1,0,0,1
655,"yellow","flint","yellow flint",1,0,1,0
656,"yellow","flint","yellow flint",1,0,1,0
657,"yellow","flint","yellow flint",1,0,1,0
658,"yellow","flint","yellow flint",1,0,1,0
659,"yellow","flint","yellow flint",1,0,1,0
660,"yellow","flint","yellow flint",1,0,1,0
661,"yellow","flint","yellow flint",1,0,1,0
662,"white","sweet","white sweet",0,1,0,1
663,"yellow","flint","yellow flint",1,0,1,0
664,"yellow","sweet","yellow sweet",1,0,0,1
665,"yellow","flint","yellow flint",1,0,1,0
666,"yellow","flint","yellow flint",1,0,1,0
667,"yellow","flint","yellow flint",1,0,1,0
668,"yellow","flint","yellow flint",1,0,1,0
669,"yellow","flint","yellow flint",1,0,1,0
670,"yellow","sweet","yellow sweet",1,0,0,1
671,"white","flint","white flint",0,1,1,0
672,"yellow","sweet","yellow sweet",1,0,0,1
673,"white","flint","white flint",0,1,1,0
674,"yellow","flint","yellow flint",1,0,1,0
675,"white","flint","white flint",0,1,1,0
676,"white","flint","white flint",0,1,1,0
677,"yellow","flint","yellow flint",1,0,1,0
678,"yellow","flint","yellow flint",1,0,1,0
679,"yellow","flint","yellow flint",1,0,1,0
680,"yellow","flint","yellow flint",1,0,1,0
681,"white","flint","white flint",0,1,1,0
682,"yellow","sweet","yellow sweet",1,0,0,1
683,"yellow","flint","yellow flint",1,0,1,0
684,"white","flint","white flint",0,1,1,0
685,"yellow","flint","yellow flint",1,0,1,0
686,"yellow","flint","yellow flint",1,0,1,0
687,"yellow","flint","yellow flint",1,0,1,0
688,"white","flint","white flint",0,1,1,0
689,"yellow","flint","yellow flint",1,0,1,0
690,"yellow","flint","yellow flint",1,0,1,0
691,"yellow","flint","yellow flint",1,0,1,0
692,"yellow","flint","yellow flint",1,0,1,0
693,"yellow","sweet","yellow sweet",1,0,0,1
694,"yellow","flint","yellow flint",1,0,1,0
695,"yellow","flint","yellow flint",1,0,1,0
696,"yellow","flint","yellow flint",1,0,1,0
697,"yellow","flint","yellow flint",1,0,1,0
698,"white","flint","white flint",0,1,1,0
699,"white","flint","white flint",0,1,1,0
700,"yellow","flint","yellow flint",1,0,1,0
701,"yellow","flint","yellow flint",1,0,1,0
702,"yellow","flint","yellow flint",1,0,1,0
703,"white","sweet","white sweet",0,1,0,1
704,"yellow","sweet","yellow sweet",1,0,0,1
705,"white","flint","white flint",0,1,1,0
706,"yellow","flint","yellow flint",1,0,1,0
707,"yellow","flint","yellow flint",1,0,1,0
708,"yellow","flint","yellow flint",1,0,1,0
709,"white","flint","white flint",0,1,1,0
710,"yellow","flint","yellow flint",1,0,1,0
711,"white","flint","white flint",0,1,1,0
712,"yellow","flint","yellow flint",1,0,1,0
713,"yellow","flint","yellow flint",1,0,1,0
714,"yellow","flint","yellow flint",1,0,1,0
715,"yellow","flint","yellow flint",1,0,1,0
716,"yellow","sweet","yellow sweet",1,0,0,1
717,"yellow","flint","yellow flint",1,0,1,0
718,"yellow","flint","yellow flint",1,0,1,0
719,"white","flint","white flint",0,1,1,0
720,"yellow","flint","yellow flint",1,0,1,0
721,"yellow","flint","yellow flint",1,0,1,0
722,"white","flint","white flint",0,1,1,0
723,"yellow","flint","yellow flint",1,0,1,0
724,"white","flint","white flint",0,1,1,0
725,"yellow","flint","yellow flint",1,0,1,0
726,"yellow","flint","yellow flint",1,0,1,0
727,"white","flint","white flint",0,1,1,0
728,"yellow","flint","yellow flint",1,0,1,0
729,"yellow","flint","yellow flint",1,0,1,0
730,"yellow","flint","yellow flint",1,0,1,0
731,"yellow","sweet","yellow sweet",1,0,0,1
732,"yellow","flint","yellow flint",1,0,1,0
733,"yellow","flint","yellow flint",1,0,1,0
734,"yellow","flint","yellow flint",1,0,1,0
735,"yellow","flint","yellow flint",1,0,1,0
736,"white","flint","white flint",0,1,1,0
737,"yellow","sweet","yellow sweet",1,0,0,1
738,"yellow","sweet","yellow sweet",1,0,0,1
739,"yellow","sweet","yellow sweet",1,0,0,1
740,"yellow","flint","yellow flint",1,0,1,0
741,"yellow","flint","yellow flint",1,0,1,0
742,"yellow","sweet","yellow sweet",1,0,0,1
743,"yellow","sweet","yellow sweet",1,0,0,1
744,"yellow","flint","yellow flint",1,0,1,0
745,"yellow","flint","yellow flint",1,0,1,0
746,"yellow","flint","yellow flint",1,0,1,0
747,"yellow","sweet","yellow sweet",1,0,0,1
748,"yellow","flint","yellow flint",1,0,1,0
749,"white","sweet","white sweet",0,1,0,1
750,"yellow","sweet","yellow sweet",1,0,0,1
751,"yellow","sweet","yellow sweet",1,0,0,1
752,"yellow","flint","yellow flint",1,0,1,0
753,"yellow","flint","yellow flint",1,0,1,0
754,"yellow","flint","yellow flint",1,0,1,0
755,"white","sweet","white sweet",0,1,0,1
756,"yellow","flint","yellow flint",1,0,1,0
757,"yellow","sweet","yellow sweet",1,0,0,1
758,"white","flint","white flint",0,1,1,0
759,"yellow","flint","yellow flint",1,0,1,0
760,"yellow","sweet","yellow sweet",1,0,0,1
761,"yellow","flint","yellow flint",1,0,1,0
762,"yellow","flint","yellow flint",1,0,1,0
763,"yellow","flint","yellow flint",1,0,1,0
764,"yellow","flint","yellow flint",1,0,1,0
765,"yellow","flint","yellow flint",1,0,1,0
766,"yellow","sweet","yellow sweet",1,0,0,1
767,"yellow","sweet","yellow sweet",1,0,0,1
768,"white","flint","white flint",0,1,1,0
769,"yellow","flint","yellow flint",1,0,1,0
770,"yellow","flint","yellow flint",1,0,1,0
771,"yellow","flint","yellow flint",1,0,1,0
772,"yellow","sweet","yellow sweet",1,0,0,1
773,"white","sweet","white sweet",0,1,0,1
774,"yellow","sweet","yellow sweet",1,0,0,1
775,"yellow","flint","yellow flint",1,0,1,0
776,"yellow","flint","yellow flint",1,0,1,0
777,"yellow","flint","yellow flint",1,0,1,0
778,"yellow","flint","yellow flint",1,0,1,0
779,"yellow","flint","yellow flint",1,0,1,0
780,"yellow","flint","yellow flint",1,0,1,0
781,"yellow","flint","yellow flint",1,0,1,0
782,"white","flint","white flint",0,1,1,0
783,"yellow","sweet","yellow sweet",1,0,0,1
784,"yellow","flint","yellow flint",1,0,1,0
785,"yellow","flint","yellow flint",1,0,1,0
786,"yellow","flint","yellow flint",1,0,1,0
787,"yellow","flint","yellow flint",1,0,1,0
788,"yellow","flint","yellow flint",1,0,1,0
789,"yellow","sweet","yellow sweet",1,0,0,1
790,"yellow","flint","yellow flint",1,0,1,0
791,"yellow","flint","yellow flint",1,0,1,0
792,"yellow","sweet","yellow sweet",1,0,0,1
793,"yellow","flint","yellow flint",1,0,1,0
794,"yellow","sweet","yellow sweet",1,0,0,1
795,"yellow","flint","yellow flint",1,0,1,0
796,"yellow","flint","yellow flint",1,0,1,0
797,"yellow","flint","yellow flint",1,0,1,0
798,"yellow","sweet","yellow sweet",1,0,0,1
799,"yellow","flint","yellow flint",1,0,1,0
800,"yellow","flint","yellow flint",1,0,1,0
